objectID,artistDisplayName,title,objectDate,medium,dimensions,department,img_id,img_url,img_area,eye_count
10049,Edwin Austin Abbey,"""King Lear,"" Act I, Scene I",1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),The American Wing,10049_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10049_000.avif,3479,1
10049,Edwin Austin Abbey,"""King Lear,"" Act I, Scene I",1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),The American Wing,10049_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10049_001.avif,5780,2
10049,Edwin Austin Abbey,"""King Lear,"" Act I, Scene I",1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),The American Wing,10049_002,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10049_002.avif,1769,1
10065,John White Alexander,Repose,1895,Oil on canvas,52 1/4 x 63 5/8 in. (132.7 x 161.6 cm),The American Wing,10065_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10065_000.avif,24440,2
10066,John White Alexander,The Ring,1911,Oil on canvas,48 3/4 x 36 3/8 in. (123.8 x 92.4 cm),The American Wing,10066_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10066_000.avif,45080,2
10068,John White Alexander,Walt Whitman,1889,Oil on canvas,50 x 40 in. (127 x 101.6 cm),The American Wing,10068_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10068_000.avif,14058,2
10070,Washington Allston,The Spanish Girl in Reverie,1831,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),The American Wing,10070_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10070_000.avif,4472,2
10074,Ezra Ames,Maurice Levy,ca. 1820,Watercolor on ivory,2 15/16 x 2 3/8 in. (7.5 x 6 cm),The American Wing,10074_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10074_000.avif,69600,2
10075,Ezra Ames,Philip Van Cortlandt,ca. 1810,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),The American Wing,10075_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10075_000.avif,37247,3
10077,Ambrose Andrews,The Children of Nathan Starr,1835,Oil on canvas,28 3/8 x 36 1/2 in. (72.1 x 92.7 cm),The American Wing,10077_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10077_000.avif,7938,2
10077,Ambrose Andrews,The Children of Nathan Starr,1835,Oil on canvas,28 3/8 x 36 1/2 in. (72.1 x 92.7 cm),The American Wing,10077_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10077_001.avif,4945,2
10077,Ambrose Andrews,The Children of Nathan Starr,1835,Oil on canvas,28 3/8 x 36 1/2 in. (72.1 x 92.7 cm),The American Wing,10077_002,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10077_002.avif,12707,2
10077,Ambrose Andrews,The Children of Nathan Starr,1835,Oil on canvas,28 3/8 x 36 1/2 in. (72.1 x 92.7 cm),The American Wing,10077_003,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10077_003.avif,5846,1
10080,Thomas Anshutz,The Way They Live,1879,Oil on canvas,24 x 17 in. (61 x 43.2 cm),The American Wing,10080_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10080_000.avif,5040,2
10080,Thomas Anshutz,The Way They Live,1879,Oil on canvas,24 x 17 in. (61 x 43.2 cm),The American Wing,10080_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10080_001.avif,1554,2
10085,Joseph Badger,James Badger,1760,Oil on canvas,42 1/2 x 33 1/8 in. (108 x 84.1 cm),The American Wing,10085_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10085_000.avif,14003,2
10092,George Augustus Baker Jr.,John F. Kensett,1875,Oil on canvas,27 x 22 in. (68.6 x 55.9 cm),The American Wing,10092_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10092_000.avif,52934,2
10093,George Augustus Baker Jr.,Mrs. William Loring Andrews,1861–63,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),The American Wing,10093_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10093_000.avif,30873,2
10135,Henry Benbridge,Elizabeth Ann Timothy,ca. 1775–85,Watercolor and gouache on ivory,1 1/2 x 1 1/8 in. (3.7 x 3 cm),The American Wing,10135_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10135_000.avif,32806,2
10136,Henry Benbridge,Mrs. Benjamin Simons,ca. 1771–76,Oil on canvas,29 7/8 x 25 in. (75.5 x 63.5 cm),The American Wing,10136_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10136_000.avif,53720,2
10138,Henry Benbridge,Portrait of a Gentleman,ca. 1770–72,Oil on canvas,49 1/4 x 39 1/2 in. (125.1 x 100.3 cm),The American Wing,10138_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10138_000.avif,17958,2
10139,Henry Benbridge,Portrait of a Gentleman,ca. 1780,Watercolor on ivory,1 1/2 x 1 in. (3.9 x 2.5 cm),The American Wing,10139_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10139_000.avif,124821,2
10159,George Caleb Bingham,Fur Traders Descending the Missouri,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),The American Wing,10159_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10159_000.avif,3920,2
10159,George Caleb Bingham,Fur Traders Descending the Missouri,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),The American Wing,10159_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10159_001.avif,2136,2
10165,William Russell Birch,Brock Livingston Delaplaine,1817,Enamel on copper,Sight: 3 x 2 1/2 in. (7.6 x 6.4 cm),The American Wing,10165_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10165_000.avif,144664,2
10174,Joseph Blackburn,Mary Sylvester,1754,Oil on canvas,49 7/8 x 40 in. (126.7 x 101.6 cm),The American Wing,10174_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10174_000.avif,54386,2
10175,Joseph Blackburn,Mrs. David Chesebrough,1754,Oil on canvas,49 7/8 x 40 1/8 in. (126.7 x 101.9 cm),The American Wing,10175_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10175_000.avif,12210,2
10176,Joseph Blackburn,Mrs. Samuel Cutts,ca. 1762–63,Oil on canvas,50 1/4 x 40 1/2 in. (127.6 x 102.9 cm),The American Wing,10176_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/10176_000.avif,39040,2
