objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
10049,13.140,Edwin Austin Abbey,"""King Lear,"" Act I, Scene I",1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),137.8,323.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP256059.jpg
10062,39.46,Henry Alexander,In the Laboratory,ca. 1885–87,Oil on canvas,36 x 30 in. (91.4 x 76.2 cm),91.4,76.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT1268.jpg
10065,1980.224,John White Alexander,Repose,1895,Oil on canvas,52 1/4 x 63 5/8 in. (132.7 x 161.6 cm),132.7,161.6,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT1551.jpg
10066,12.90,John White Alexander,The Ring,1911,Oil on canvas,48 3/4 x 36 3/8 in. (123.8 x 92.4 cm),123.8,92.4,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP273005.jpg
10067,08.139.1,John White Alexander,Study in Green and Black,by 1906,Oil on canvas,50 x 40 1/8 in. (127 x 101.9 cm),127.0,101.9177,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-12213-001.jpg
10068,91.18,John White Alexander,Walt Whitman,1889,Oil on canvas,50 x 40 in. (127 x 101.6 cm),127.0,101.6002,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap91.18.jpg
10070,01.7.2,Washington Allston,The Spanish Girl in Reverie,1831,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),76.2,63.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap01.7.2.jpg
10072,56.53,Washington Allston,A Study from Life [and] Study for Angel Releasing Saint Peter from Prison,ca. 1815,Oil on paperboard,36 1/4 x 26 3/4 in. (92.1 x 67.9 cm),92.1,67.9,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap56.53.jpg
10074,95.12,Ezra Ames,Maurice Levy,ca. 1820,Watercolor on ivory,2 15/16 x 2 3/8 in. (7.5 x 6 cm),7.5,6.0,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-15884-001.jpg
10075,40.94,Ezra Ames,Philip Van Cortlandt,ca. 1810,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),91.4,71.1,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap40.94.jpg
10076,10.106,Joseph Alexander Ames,James Topham Brady,1869,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),76.2,63.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap10.106.jpg
10077,1987.404,Ambrose Andrews,The Children of Nathan Starr,1835,Oil on canvas,28 3/8 x 36 1/2 in. (72.1 x 92.7 cm),72.1,92.7,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT5812.jpg
10080,40.40,Thomas Anshutz,The Way They Live,1879,Oil on canvas,24 x 17 in. (61 x 43.2 cm),61.0,43.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT105.jpg
10082,83.2.468,William P. Babcock,Benjamin Franklin,ca. 1876,Oil on wood,12 1/8 x 8 in. (30.6 x 20.3 cm),30.8,20.3,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap83.2.468.jpg
10083,83.2.237,William P. Babcock,Portrait of Benjamin Franklin,ca. 1870–80 (?),Oil on wood,5 1/4 x 4 1/8 in. (13.3 x 10.5 cm),13.3,10.4775,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/25597.jpg
