objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
10049,13.140,Edwin Austin Abbey,"""King Lear,"" Act I, Scene I",1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),137.8,323.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP256059.jpg
10065,1980.224,John White Alexander,Repose,1895,Oil on canvas,52 1/4 x 63 5/8 in. (132.7 x 161.6 cm),132.7,161.6,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT1551.jpg
10066,12.90,John White Alexander,The Ring,1911,Oil on canvas,48 3/4 x 36 3/8 in. (123.8 x 92.4 cm),123.8,92.4,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP273005.jpg
10068,91.18,John White Alexander,Walt Whitman,1889,Oil on canvas,50 x 40 in. (127 x 101.6 cm),127.0,101.6002,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap91.18.jpg
10070,01.7.2,Washington Allston,The Spanish Girl in Reverie,1831,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),76.2,63.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap01.7.2.jpg
10074,95.12,Ezra Ames,Maurice Levy,ca. 1820,Watercolor on ivory,2 15/16 x 2 3/8 in. (7.5 x 6 cm),7.5,6.0,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-15884-001.jpg
10075,40.94,Ezra Ames,Philip Van Cortlandt,ca. 1810,Oil on canvas,36 x 28 in. (91.4 x 71.1 cm),91.4,71.1,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap40.94.jpg
10077,1987.404,Ambrose Andrews,The Children of Nathan Starr,1835,Oil on canvas,28 3/8 x 36 1/2 in. (72.1 x 92.7 cm),72.1,92.7,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT5812.jpg
10080,40.40,Thomas Anshutz,The Way They Live,1879,Oil on canvas,24 x 17 in. (61 x 43.2 cm),61.0,43.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT105.jpg
10085,29.85,Joseph Badger,James Badger,1760,Oil on canvas,42 1/2 x 33 1/8 in. (108 x 84.1 cm),108.0,84.1,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap29.85.jpg
10092,81.13,George Augustus Baker Jr.,John F. Kensett,1875,Oil on canvas,27 x 22 in. (68.6 x 55.9 cm),68.6,55.9,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap81.13.jpg
10093,40.144,George Augustus Baker Jr.,Mrs. William Loring Andrews,1861–63,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),76.2,63.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap40.144.jpg
10135,26.286,Henry Benbridge,Elizabeth Ann Timothy,ca. 1775–85,Watercolor and gouache on ivory,1 1/2 x 1 1/8 in. (3.7 x 3 cm),3.7,3.0,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP168945.jpg
10136,29.58,Henry Benbridge,Mrs. Benjamin Simons,ca. 1771–76,Oil on canvas,29 7/8 x 25 in. (75.5 x 63.5 cm),75.9,63.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap29.58.jpg
10138,69.202,Henry Benbridge,Portrait of a Gentleman,ca. 1770–72,Oil on canvas,49 1/4 x 39 1/2 in. (125.1 x 100.3 cm),125.1,100.3,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap69.202.jpg
10139,68.222.21,Henry Benbridge,Portrait of a Gentleman,ca. 1780,Watercolor on ivory,1 1/2 x 1 in. (3.9 x 2.5 cm),3.9,2.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP217216.jpg
10159,33.61,George Caleb Bingham,Fur Traders Descending the Missouri,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),73.7,92.7,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT73.jpg
10165,1985.141.12,William Russell Birch,Brock Livingston Delaplaine,1817,Enamel on copper,Sight: 3 x 2 1/2 in. (7.6 x 6.4 cm),7.62,6.35,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP168963.jpg
10174,16.68.2,Joseph Blackburn,Mary Sylvester,1754,Oil on canvas,49 7/8 x 40 in. (126.7 x 101.6 cm),126.7,101.6,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP162258.jpg
10175,16.68.3,Joseph Blackburn,Mrs. David Chesebrough,1754,Oil on canvas,49 7/8 x 40 1/8 in. (126.7 x 101.9 cm),126.7,101.9,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap16.68.3.jpg
10176,1979.196.2,Joseph Blackburn,Mrs. Samuel Cutts,ca. 1762–63,Oil on canvas,50 1/4 x 40 1/2 in. (127.6 x 102.9 cm),127.6,102.9,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT9848.jpg
10177,1979.196.1,Joseph Blackburn,Samuel Cutts,ca. 1762–63,Oil on canvas,50 1/4 x 40 3/8 in. (127.6 x 102.6 cm),127.6,102.6,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap1979.196.1.jpg
10185,67.29,Jacob D. Blondel,Luigi Palma di Cesnola,1865,Oil on canvas,27 1/4 x 22 1/8 in. (69.2 x 56.2 cm),69.2,56.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-18282-001.jpg
10186,04.31,Robert Frederick Blum,The Ameya,by 1893,Oil on canvas,25 1/16 x 31 1/16 in. (63.7 x 78.9 cm),63.7,78.9,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT222052.jpg
10210,66.242.23,John Bradley,Emma Homan,ca. 1844,Oil on canvas,34 x 27 1/8 in. (86.4 x 68.9 cm),86.4,68.9,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT2024.jpg
10218,1985.141.4,Hugh Bridport,Carolyn Mishner,ca. 1825,Watercolor on ivory,2 1/2 x 2 1/16 in. (6.2 x 5.2 cm),6.4,5.1,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP168961.jpg
10239,09.26.5,John George Brown,Meditation,ca. 1900–1910,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),76.2,63.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap09.26.5.jpg
10240,21.115.3,John George Brown,The Music Lesson,1870,Oil on canvas,24 x 20 in. (61 x 50.8 cm),61.0,50.8,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP156440.jpg
10241,63.130.2,John George Brown,To Decide the Question,1897,Oil on canvas,30 x 40 in. (76.2 x 101.6 cm),76.2,101.6,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/APS238.jpg
10246,64.129,Mather Brown,Lady with a Dog,1786,Oil on canvas,49 1/2 x 39 1/2 in. (125.7 x 100.3 cm),125.7,100.3,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/APS239.jpg
10247,65.235,Mather Brown,Portrait of a Young Woman,1801,Oil on canvas,50 x 40 1/4 in. (127 x 102.2 cm),127.0,102.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap65.235.jpg
10259,93.20,Dennis Miller Bunker,Eleanor Hardy Bunker,1890,Oil on canvas,24 x 20 7/8 in. (61 x 53 cm),61.0,53.0,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap93.20.jpg
10371,49.126,John Carlin,After a Long Cruise,1857,Oil on canvas,20 x 30 in. (50.8 x 76.2 cm),50.8,76.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-28304-001.jpg
10372,68.222.17,John Carlin,The Allen Children,1847,Watercolor on ivory,4 1/16 x 3 3/8 in. (10.3 x 8.6 cm),10.3,8.6,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP161476.jpg
10374,1979.188,John Carlin,The Thompson Children,1846,Watercolor on ivory,4 5/16 x 3 9/16 in. (11 x 9 cm),11.0,9.0,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP222409.jpg
10421,1995.66,Charles Robert Leslie,The Last Throw,ca. 1840,Oil on canvas,"18 1/2 x 38in. (47 x 96.5cm)
Framed: 32 1/2 x 52 1/2 x 3 1/2 in. (82.6 x 133.4 cm)",47.0,96.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT3850.jpg
10423,2006.457,Francis William Edmonds,Taking the Census,1854,Oil on canvas,28 x 38 in. (71.1 x 96.5 cm),71.1,96.5202,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP146263.jpg
10426,38.146.13,George Catlin,Mrs. George Catlin (Clara Bartlet Gregory),ca. 1830,Watercolor on ivory,2  x 1 3/4 in.  (5.1 x 4.4 cm),5.4,4.4,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP169289.jpg
10427,1985.141.1,George Catlin,Portrait of a Gentleman,1827,Watercolor on ivory,2 3/8 x 1 7/8 in. (6 x 4.8 cm),6.0,4.7625,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP168883.jpg
10437,54.90.489,William P. Chappel,Adult Funeral Procession,1870s,Oil on slate paper,6 x 9 1/4 in. (15.2 x 23.5 cm),15.2,23.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-1427-019.jpg
10439,54.90.515,William P. Chappel,Baptism,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),15.6,23.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-1427-001.jpg
10440,54.90.514,William P. Chappel,Bathing Party,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),15.6,23.5,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-1427-003.jpg
10448,54.90.495,William P. Chappel,Fighting a Fire,1870s,Oil on slate paper,6 x 9 1/8 in. (15.2 x 23.2 cm),15.2,23.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-1427-031.jpg
10461,54.90.503,William P. Chappel,Tea Rusk and Brick House,1870s,Oil on slate paper,9 1/8 x 6 in. (23.2 x 15.2 cm),23.2,15.2,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-1427-041.jpg
10462,54.90.504,William P. Chappel,Tea water pump,1870s,Oil on slate paper,6 1/16 x 9 5/16 in. (15.4 x 23.7 cm),15.4,23.7,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-1427-043.jpg
10465,06.969,William Merritt Chase,Carmencita,1890,Oil on canvas,69 7/8 x 40 7/8 in. ( 177.5 x 103.8 cm),177.5,103.8,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT226889.jpg
10466,1973.342,William Merritt Chase,Edward Guthrie Kennedy,ca. 1895,Oil on canvas,22 x 17 7/8 in. (55.9 x 45.4 cm),55.9,45.4,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP137144.jpg
