objectID,accessionNumber,objectName,title,department,primaryImage,artistDisplayName,objectDate,medium,dimensions,measurements.Height,measurements.Width
10028,66.73,Painting,Orange Branch,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap66.73.jpg,John La Farge,ca. 1883,Oil on canvas,54 5/8 x 11 5/8 in. (138.4 x 29.5 cm),138.7,29.5
10035,67.187.138,Painting,Pasture at Evening,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap67.187.138.jpg,Albert Pinkham Ryder,1912–32,Oil on canvas,12 x 16 in. (30.5 x 40.6 cm),30.5,40.6
10049,13.140,Painting,"""King Lear,"" Act I, Scene I",The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP256059.jpg,Edwin Austin Abbey,1898,Oil on canvas,54 1/4 x 127 1/4 in. (137.8 x 323.2 cm),137.8,323.2
10061,1972.263.5,Painting,"Leete Farm, West Claremont, New Hampshire",The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap1972.263.5.jpg,Francis Alexander,ca. 1822,Oil on canvas,17 x 27 1/4 in. (43.2 x 69.2 cm),43.2,69.2
10062,39.46,Painting,In the Laboratory,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT1268.jpg,Henry Alexander,ca. 1885–87,Oil on canvas,36 x 30 in. (91.4 x 76.2 cm),91.4,76.2
10065,1980.224,Painting,Repose,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DT1551.jpg,John White Alexander,1895,Oil on canvas,52 1/4 x 63 5/8 in. (132.7 x 161.6 cm),132.7,161.6
10066,12.90,Painting,The Ring,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP273005.jpg,John White Alexander,1911,Oil on canvas,48 3/4 x 36 3/8 in. (123.8 x 92.4 cm),123.8,92.4
10067,08.139.1,Painting,Study in Green and Black,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/DP-12213-001.jpg,John White Alexander,by 1906,Oil on canvas,50 x 40 1/8 in. (127 x 101.9 cm),127.0,101.9177
10068,91.18,Painting,Walt Whitman,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap91.18.jpg,John White Alexander,1889,Oil on canvas,50 x 40 in. (127 x 101.6 cm),127.0,101.6002
10070,01.7.2,Painting,The Spanish Girl in Reverie,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap01.7.2.jpg,Washington Allston,1831,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),76.2,63.5
10072,56.53,Painting,A Study from Life [and] Study for Angel Releasing Saint Peter from Prison,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/ap56.53.jpg,Washington Allston,ca. 1815,Oil on paperboard,36 1/4 x 26 3/4 in. (92.1 x 67.9 cm),92.1,67.9
